"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1015.0","1017.9","1023.6","2020/01/01 10:01:00","1005.2","2020/01/26 15:01:00","21.9","29.3","2020/01/24 12:58:00","15.3","2020/01/20 06:37:00","17.1","3.3","60","20.9","60","2020/01/01 00:49:00","57.2","15.6","5","8.0","2020/01/26 08:30:00","33.5","2020/01/26 08:08:00","44.5","2020/01/26 00:00:00","76","113.8","196.7","451.81","5","7","2020/01/31 13:00:00","4.3","0.0","--","23.2","22.9","23.1","23.4","23.6"
"02","1017.1","1020.0","1024.2","2020/02/21 09:24:00","1009.5","2020/02/29 15:44:00","21.9","29.4","2020/02/25 11:38:00","15.4","2020/02/18 01:36:00","17.8","3.6","60","23.8","50","2020/02/05 20:33:00","53.0","15.0","8","6.0","2020/02/13 16:40:00","14.5","2020/02/13 15:50:00","26.0","2020/02/13 00:00:00","79","105.4","162.9","457.45","7","9","2020/02/24 13:00:00","5.0","0.0","--","22.1","22.5","22.7","22.7","22.7"
"03","1012.1","1014.9","1019.5","2020/03/16 09:10:00","1004.6","2020/03/09 15:05:00","24.0","31.6","2020/03/27 12:43:00","18.3","2020/03/16 02:11:00","20.0","3.1","60","23.2","40","2020/03/05 12:16:00","12.0","4.6","3","2.5","2020/03/28 10:02:00","5.0","2020/03/10 12:10:00","5.5","2020/03/28 00:00:00","80","143.5","211.8","602.62","7","9","2020/03/05 13:00:00","4.6","0.0","--","25.5","25.5","25.5","25.1","25.0"
"04","1012.4","1015.2","1017.0","2020/04/02 10:05:00","1007.6","2020/04/12 03:20:00","24.7","32.4","2020/04/19 11:21:00","17.2","2020/04/15 05:51:00","19.1","3.5","60","21.5","50","2020/04/24 01:21:00","6.0","3.6","2","1.0","2020/04/07 02:09:00","2.5","2020/04/07 02:04:00","5.5","2020/04/07 00:00:00","73","170.2","205.5","623.41","7","9","2020/04/28 12:00:00","4.9","0.0","--","27.7","28.0","27.7","27.0","26.8"
"05","1006.8","1009.5","1011.8","2020/05/01 09:01:00","1000.5","2020/05/17 15:09:00","28.0","34.2","2020/05/15 13:00:00","23.7","2020/05/20 13:27:00","25.2","2.3","300","18.5","70","2020/05/12 22:30:00","220.8","35.7","15","16.5","2020/05/27 09:17:00","54.5","2020/05/27 08:45:00","83.0","2020/05/27 00:00:00","86","148.8","196.9","622.13","8","10","2020/05/29 12:00:00","5.8","0.0","--","30.8","31.1","31.0","30.2","30.0"
"06","1006.4","1009.1","1012.3","2020/06/15 00:04:00","1001.9","2020/06/21 16:58:00","29.6","33.9","2020/06/11 12:54:00","24.1","2020/06/09 03:50:00","26.7","2.3","300","13.3","290","2020/06/21 13:14:00","80.0","19.2","10","10.0","2020/06/12 06:56:00","16.0","2020/06/12 06:45:00","31.5","2020/06/12 00:00:00","86","174.8","260.2","730.19","11","13","2020/06/21 12:00:00","4.7","0.0","--","32.2","32.1","32.0","31.4","31.2"
"07","1005.9","1008.6","1010.2","2020/07/03 22:12:00","1001.2","2020/07/15 03:12:00","29.8","34.8","2020/07/23 10:59:00","25.3","2020/07/30 06:52:00","26.7","2.2","290","20.2","60","2020/07/30 16:24:00","246.5","25.8","13","21.0","2020/07/30 06:16:00","49.0","2020/07/28 11:59:00","89.5","2020/07/28 00:00:00","85","172.3","248.2","704.19","11","13","2020/07/22 13:00:00","4.8","0.0","--","32.0","32.0","32.0","31.7","31.8"
"08","1004.9","1007.6","1012.3","2020/08/12 21:40:00","998.8","2020/08/31 15:31:00","28.5","34.6","2020/08/08 12:47:00","24.4","2020/08/26 22:35:00","26.3","2.4","120","15.4","40","2020/08/17 04:29:00","463.5","66.8","23","17.0","2020/08/05 23:15:00","33.5","2020/08/25 05:47:00","107.0","2020/08/26 00:00:00","89","116.1","164.4","548.49","9","13","2020/08/13 13:00:00","6.6","0.0","1.0","29.3","29.8","30.0","29.7","29.8"
"09","1006.5","1009.2","1011.8","2020/09/18 22:01:00","998.4","2020/09/01 14:58:00","28.6","34.2","2020/09/14 12:05:00","24.2","2020/09/30 05:46:00","24.5","2.1","60","17.1","60","2020/09/30 21:31:00","69.5","6.8","6","13.0","2020/09/17 23:26:00","22.0","2020/09/17 22:50:00","33.5","2020/09/17 00:00:00","80","158.4","236.3","630.18","10","12","2020/09/13 12:00:00","4.5","0.0","1.0","30.2","30.3","30.6","30.4","30.6"
